1,Q1. I am a:,"Q2. The EPTA buses (Ram Force One or Ram Express) help students travel across campus and in some cases, from Martinsburg to Shepherdstown.How often do you ride the EPTA buses?",Q3_1:To get to class,Q3_2:To get to the Rams Den for food,Q3_3:To get to group meetings,Q3_4:To go to the Wellness Center,Q3_5:Due to an injury,Q3_6:For an Accessibility reason,Q3_7:To avoid issues finding parking,Q3_8:For personal safety,Q3_9:Other - Explain:,Q3_9OT,Q4_1:Didn't know we had shuttles,Q4_2:Didn't know they were free (thought I would have to pay),Q4_3:Prefer walking,Q4_4:Don't have trouble finding parking on East Campus,Q4_5:Other - Explain:,Q4_5OT,Q5_1:To get to class,Q5_2:To get to the Rams Den for food,Q5_3:To get to group meetings,Q5_4:To go to the Wellness Center,Q5_5:Due to an injury,Q5_6:For an Accessibility reason,Q5_7:To avoid issues finding parking,Q5_8:For personal safety,Q5_9:Other - Explain:,Q5_9OT,Q6. How important is it to have a circulating bus on campus to assist students in navigating from one side of campus or from parking lots to campus buildings?,Q7_1:7:30 am - 12 pm,Q7_2:12 pm - 4 pm,Q7_3:4 pm - 7 pm,Q7_4:7 pm - 9 pm,Q7_5:Not important to me,"Q8. If budget shortfalls force a reduction of EPTA shuttle services, would you support a small fee to support these services?",Q9. Indicate your level of agreement with the following statements. - There are sufficient shuttle stops and routes to take me where I need to go on campus.,Q10. Indicate your level of agreement with the following statements. - It is difficult to find parking and the shuttle buses help alleviate parking issues.,Q11. Indicate your level of agreement with the following statements. - I know how to find/access the shuttle route schedule and information.,Q12. Indicate your level of agreement with the following statements. - The current EPTA bus services meet my satisfaction.,"Q13. Please share any additional information you would like us to consider when determining if this service should be continued, altered, or eliminated. (maximum 250 characters)",Q13_1OT,"Q14. If you are willing to participate in a focus group regarding the EPTA services, please include your Shepherd email here."
26,2,1,1,,,,5,6,7,8,9,Extreme weather & I have a chronic condition,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,5,,1,1,1,1,1,1,It is absurd to eliminate a service that provides care to students with disabilities.  ,
27,2,3,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,2,2,,,
28,2,3,1,,,,5,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,,,1,3,1,1,3,1,The buses are almost never on time or will leave before their scheduled time. It is also at awkward intervals that make leaving classes more difficult.,
29,2,4,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,,3,5,,1,1,4,1,1,,,
30,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
31,1,3,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,,,,2,1,1,1,1,,,
32,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,5,,,,,,3,,,,,4,2,2,3,3,,,,
33,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,1,2,1,1,,,
34,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,2,2,1,2,,,
35,1,2,1,,,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,1,1,2,1,"Shuttles are particularly useful during bitter cold as they are heated, providing a more comfortable alternative to walking",
36,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,5,,7,,,,4,,,,,4,2,1,4,2,3,,,
37,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,Would rather drive and have more parking ,,,,,,,,,9,Honestly I probably won’t unless I’m with a group or at a school event or something and they are the transportation,4,,,,,4,2,2,4,3,2,,,
38,2,1,1,2,,,,6,,8,9,"To not be in the weather like cold, rain, snow, etc.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,2,1,1,1,I need the EPTA because I have knee problems and trying to walk around campus doesn't work for me.,1
39,2,1,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,N/a,
40,2,3,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,3,,,1,2,2,2,2,,,
41,2,2,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,"EPTA is one of my favorite thing about SU. It makes navigating campus so much easier for students, especially the not insignificant number with disabilities (visible or invisible), and is a crucial part of Shepherd's parking strategy",1
42,2,1,1,,,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,,,,2,1,2,1,1,,,
43,1,3,1,,,,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,You should open up employee parking if you’re going to discontinue and make accessible parking closer to the buildings.,
44,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,2,1,"If there was a place for residents to park on the opposite side of campus, I think that the epta would be unnecessary. But since there isn't, it is necessary because of injuries, weather, and the need to carry multiple things to class. ",
45,2,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
46,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,6,,,,,4,,,,,4,2,2,3,2,3,,,
