1,Q1. I am a:,"Q2. The EPTA buses (Ram Force One or Ram Express) help students travel across campus and in some cases, from Martinsburg to Shepherdstown.How often do you ride the EPTA buses?",Q3_1:To get to class,Q3_2:To get to the Rams Den for food,Q3_3:To get to group meetings,Q3_4:To go to the Wellness Center,Q3_5:Due to an injury,Q3_6:For an Accessibility reason,Q3_7:To avoid issues finding parking,Q3_8:For personal safety,Q3_9:Other - Explain:,Q3_9OT,Q4_1:Didn't know we had shuttles,Q4_2:Didn't know they were free (thought I would have to pay),Q4_3:Prefer walking,Q4_4:Don't have trouble finding parking on East Campus,Q4_5:Other - Explain:,Q4_5OT,Q5_1:To get to class,Q5_2:To get to the Rams Den for food,Q5_3:To get to group meetings,Q5_4:To go to the Wellness Center,Q5_5:Due to an injury,Q5_6:For an Accessibility reason,Q5_7:To avoid issues finding parking,Q5_8:For personal safety,Q5_9:Other - Explain:,Q5_9OT,Q6. How important is it to have a circulating bus on campus to assist students in navigating from one side of campus or from parking lots to campus buildings?,Q7_1:7:30 am - 12 pm,Q7_2:12 pm - 4 pm,Q7_3:4 pm - 7 pm,Q7_4:7 pm - 9 pm,Q7_5:Not important to me,"Q8. If budget shortfalls force a reduction of EPTA shuttle services, would you support a small fee to support these services?",Q9. Indicate your level of agreement with the following statements. - There are sufficient shuttle stops and routes to take me where I need to go on campus.,Q10. Indicate your level of agreement with the following statements. - It is difficult to find parking and the shuttle buses help alleviate parking issues.,Q11. Indicate your level of agreement with the following statements. - I know how to find/access the shuttle route schedule and information.,Q12. Indicate your level of agreement with the following statements. - The current EPTA bus services meet my satisfaction.,"Q13. Please share any additional information you would like us to consider when determining if this service should be continued, altered, or eliminated. (maximum 250 characters)",Q13_1OT,"Q14. If you are willing to participate in a focus group regarding the EPTA services, please include your Shepherd email here."
116,2,3,,,,,5,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,I am disabled.,1
117,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,,,,9,Never,4,,,,,4,2,2,4,1,2,1,None,
118,2,2,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,2,1,I feel that the EPTA is a crucial mode of transportation for students with any type of disability that makes traveling to classes difficult.,
119,1,3,1,,3,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,1,1,2,,,
120,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,,7,,,,2,1,2,,,,1,2,2,2,2,,,
121,2,2,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,1,1,1,1,1,"I do not support the decision to remove the EPTA bus from campus because for all students with accessibility needs, and for residents trying to get to east side of campus because the school does not have res. parking lots there.",
122,2,1,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,2,1,1,1,1,,,
123,2,1,1,,,,,6,,,9,To avoid walking in the weather,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,The bus is nice. Please dont get rid of it,1
124,1,5,,2,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,4,1,1,"I think the service should be continued, it helps people on campus who have disabilities, trouble finding parking, and time management and it is a wonderful tool to help students on campus and it should continue to be available.",
125,2,3,1,2,3,,,,,8,9,Due to weather ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,1,2,1,1,2,,,
126,2,6,--,--,--,--,--,--,--,--,--,--,,,3,,,,,,,,5,6,,8,,,1,1,2,3,5,,1,1,1,1,1,1,Don’t get rid of something crucial to those with accessibility needs.,
127,2,1,1,2,,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
128,2,5,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,,,,2,2,2,2,2,,,
129,2,2,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,2,1,"As a residential student, we have nowhere to park. and when it’s really cold or there’s time crunch’s I need the bus to get across campus from West Woods.",1
130,1,2,1,2,3,,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,2,2,1,1,1,,,
131,2,2,1,2,3,4,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,This was an extremely useful service when I had a back injury and could not walk across campus. It would be a shame if this was taken away from campus.,1
132,2,1,1,2,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
133,2,1,1,2,3,4,5,,,8,9,Work,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,1,2,1,"Living over at the apartments it can be hard for me to get on the other side of campus; esp when there is poor weather (snow, rain, extreme winds, cold). My roommate has to use a cane some days and has to travel is via the EPTA.  ",1
134,2,3,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,4,1,1,1,Commuters need to be instructed to park in H lot and use the buses to get to East Campus. Bus use will go up if everyone uses our available resources as the school intended.,1
135,2,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,The EPTA should be continued. It’s beneficial on campus even if it is used mostly by residential students only. Without the bus no student would be in class or able to make it to class ESPECIALLY in the freezing winters or the excessive heat.,
136,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,2,2,2,,,
137,1,5,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,1,1,1,1,,,
138,2,2,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,2,1,1,"Disabled and injured students are owed transportation across campus. In addition, as a woman who takes classes that end at 7pm and 9pm, I do not feel safe walking back to my campus apartment alone in the dark",1
139,1,1,,,,,,,,,9,martinsburg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
140,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,2,1,2,1,1,1,The EPTA bus service is extremely valuable for all on campus and allows for quick and easy transportation around campus. ,
141,2,1,1,2,3,4,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,The parking on campus is already horrible to navigate and without the epta it forces residencial students to walk across campus. Walking is not bad until it 15 degrees and cold. Also i’m broke and can’t afford to pay everyday to get across campus. ,
142,2,2,1,2,3,,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,The EPTA is a vital service for the student body to have access to. Taking it away will show that the administration does not care about its students well-being.,
143,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,,,,9,Only if I was right beside it as I was walking to class ,4,,,,,4,2,1,4,2,2,1,No one uses it but because there’s a bunch of liberals on campus they’ll cry that it’s being removed. Remove it and invest the money elsewhere to help Shepherd.,
144,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,1,1,2,2,,,
145,2,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,Please do not eliminate EPTA. It is extremely essential to the whole campus. Eliminating the EPTA would be detrimental to resident life and users all around campus.,1
146,1,2,1,,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,,,
147,2,1,1,2,,,,,,,9,Chronic joint pain,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,The elimination of the EPTA services would be discriminatory to those with disabilities who cannot easily transport themselves across campus.,
148,2,3,1,,3,,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,2,,,
149,2,3,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
150,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,4,,,,,,,3,1,,,,,1,2,2,3,2,,,
151,2,2,1,,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,2,,,
152,2,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,5,6,,8,,,3,,,,,4,2,,,,,,,
153,1,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,1,1,,,
154,2,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
155,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,2,,,
156,2,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
157,1,1,1,,3,,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,2,1,2,,,
158,2,2,1,2,3,4,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,"Please do not take away the EPTA, there is not enough parking for residential students to get to their classes. ",
159,2,1,1,2,3,4,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,1,1,2,,,
160,2,1,1,2,3,4,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
161,2,1,1,2,,4,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,There are many disabled people on campus who may not need mobility aids but can't walk up and down the hills in town and need that assistance. Or there's bad weather that males it hard to cross campus.,1
162,2,1,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,"I feel like they could go down to only one bus, but i feel like a bus is needed. Maybe do a bus pass. Like a parking pass. You pay a one time fee per year to ride the bus.",
163,1,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
164,2,1,1,,3,4,5,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,5,,1,1,1,1,1,1,"If the epta were not available I would not be able to attend classes. I am disabled and cannot walk across campus and cannot drive so I rely on the bus as transit to classes, work, and foo.",1
165,2,3,1,2,3,4,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,2,1,3,1,"I actually believe if EPTA (especially ram force one) circulated more frequently, I would use it at least daily ",
166,2,3,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,2,1,2,1,1,,,
167,1,2,1,2,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
168,2,2,1,2,3,4,,6,7,8,9,"When I get POTS flares, I cannot walk between both sides of campus due to strain on my heart. ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,2,1,1,"Please consider the many students with disabilities. I have POTS (walking far during flares strains my heart) and mobility issues due to EDS. Keep EPTA as-is, and consider cuts elsewhere (expensive sports program) or adding *small* fees.",
169,2,1,1,2,,,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,1,2,1,i live on campus and need the bus to get around due to disability ,
170,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,2,2,2,2,,,
171,2,1,1,2,,,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
172,2,1,1,,,4,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,3,1,2,2,,,
173,2,5,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,,,
174,2,2,1,,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,1,1,1,1,1,,,
175,2,1,1,2,,4,,,7,,9,Cold weather/ice,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,"I feel that the buses on shepherd campus are so important to the student body. Every time I ride the bus, there is at least 5-10 people  ",1
176,2,1,1,2,,,5,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,,3,5,,2,1,2,2,2,1,"I need the EPTA because I have two night classes every week and have no car on campus, I don't feel safe walking across campus at night.",
177,1,2,,,3,4,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,2,1,1,1,2,,,
178,1,1,1,,,,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,1,1,1,I am a shepherd student that doesn’t live on campus. I also can’t drive. So the EPtA bus is how I have gotten to class every day for the past 3 years.  I would be so disappointed if this were to go away. ,1
179,2,5,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,2,2,2,,,
180,1,5,,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,4,4,4,4,1,"Every single one of the drivers are rude. As I was leaving my dorm, I saw a EPTA driver almost hit a driver and honked at them even tho they were in the wrong. Incredibly rude, blocks people from leaving the lots.",
181,2,2,,2,,4,,,,,9,To get back to Potomac ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
182,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,2,2,2,,,
183,2,2,1,2,,4,5,,,8,9,To get to the other side of campus for work,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,The Epta is very important for safety of students who take night classes and don’t have cars,1
184,2,1,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,1,1,1,1,1,,,
185,2,3,1,,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,1,1,2,1,It would be helpful if the buses started at 7:30 so I could use them to get to my 8:00 class.,
186,2,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,3,1,1,1,1,"Removing this service will cause Shepherd University to have a worse reputation than it already does amongst current students, prospective students, (and like myself) new transfer students.  Removing it would be a grave mistake. ",1
187,2,6,--,--,--,--,--,--,--,--,--,--,,,3,,5,I like to have my own agency of getting places when I want and not on a bus schedule ,,,,,,,7,,,,2,,,,,4,2,,,,,,,
188,2,2,1,,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,1,1,2,1,1,,,
189,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,1,2,,,
190,2,2,1,2,3,,,,,,9,Weather,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,5,,1,2,2,2,2,,,
191,1,4,,,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,1,2,1,1,1,1,n/a,1
192,2,2,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
193,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
194,2,1,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,2,1,2,1,"I strongly believe that this service should be continued, and while I would support fees to continue it if absolutely necessary, I think we should first consider cuts to athletic programs and new construction.",
195,2,5,,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
196,1,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,1,1,1,,,
197,2,1,1,2,3,4,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
198,3,3,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,2,1,2,1,1,1,Keeping the EPTA services will help people with disabilities especially for the safety of women on campus,
199,2,1,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,2,2,2,2,1,,,
200,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,2,3,1,1,Continue the bus support ,
201,2,2,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,The bus should definitely be continued. I use it daily to get to class and I have classes that run until almost 8pm. I feel safe riding the bus especially when it’s dark outside and I don’t feel comfortable walking to my apartment. ,
202,2,2,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,1,,,,,2,2,2,2,2,1,I don’t want to be charged extra,
203,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,Because it’s quicker to get to my car rather than parking and get on the bus ,,,,,,,7,,,,4,,,,,4,2,4,4,4,4,1,I don’t wanna pay 90 dollars when it does not benefit me as a commuter ,1
204,1,1,1,,,4,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,1,1,,,
205,1,5,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,,3,5,,1,1,1,1,1,,,
206,2,1,1,2,3,4,5,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,Canceling the shuttle would be a complete disservice to shepherd university ,
207,1,5,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,2,2,,,
208,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
209,1,2,1,2,3,4,5,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,2,1,1,1,Eliminating the EPTA bus service makes shepherd less accessible to the students who need that service most.,
210,2,3,1,,,,,,,,9,Weather related,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,2,1,2,1,Align bus schedule to fit when classes let out. ,1
211,2,3,,,,,5,,7,8,9,Whether related ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,2,1,2,1,Bus schedule should align with when classes get out and start. ,1
212,2,2,1,2,,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
213,2,2,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
214,1,3,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
215,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
216,2,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,5,,1,1,4,1,1,,,
217,1,5,1,,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,1,2,,,,2,2,2,3,2,,,
218,1,5,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,2,1,1,1,1,,,
219,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,5,,1,1,2,1,1,,,
220,2,2,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,2,1,2,1,The EPTA bus is ESSENTIAL especially when it’s 10° and windy out.,
221,1,3,1,,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,2,2,2,,,
222,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
223,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,1,2,1,"The Ram Express bus is sometimes completely off-schedule sometimes, such as being in H-lot at 10:30 when it is supposed to be in front of Snyder Hall.",1
224,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,1,1,1,,,
225,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
226,1,3,1,,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
227,2,1,1,2,,,5,,,8,9,extreme cold,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,2,1,1,1,1,1,"Ram Express over ram force one should be considered for elimination, but not both as both accomplish travel from one end of campus to another",1
228,2,1,1,2,,4,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,1,"I really think that it should stay in service for students safety especially for night classes, inclement weather, and injury (I am an athlete in a boot and can’t walk)  ",
229,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
230,2,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,3,1,1,,,
231,2,1,1,2,3,,5,,7,8,9,effects of weather hinders attention in class,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,1,1,2,1,"Body reactions to weather are distracting in class for all students. Attention shifts from the lecture to physical ailments. Examples:  winter runny nose, fall leaf mold allergies, spring pollen allergies, or heat nausea and fatigue.",1
232,1,5,,,,,5,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,1,4,2,,,
233,1,6,--,--,--,--,--,--,--,--,--,--,,2,3,4,,,1,,,4,5,,,,,,4,1,,,,,2,3,2,4,3,,,
234,2,2,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,2,1,1,1,"For accessibility reasons, I feel that it should be mandatory. There are many students who could not cross the distance due to disabilities without the EPTA. ",
235,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
236,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,1,1,1,1,1,1,"EPTA is a wonderful resource for all students. It saves students from having to walk across campus in extreme weather conditions, and it helps us get to class on time. Eliminating EPTA on campus would be a bad decision in many ways. ",
237,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
238,1,1,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
239,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,1,,,4,,,,,,,1,1,,,,,1,2,1,2,1,,,
240,1,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
241,2,6,--,--,--,--,--,--,--,--,--,--,,2,3,,,,1,2,,4,,,7,,,,1,,,,,4,1,4,2,4,4,,,
242,2,3,1,2,,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
243,2,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,2,2,1,2,2,,,
244,1,3,1,,,,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
245,2,1,1,2,3,,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
246,1,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
247,1,1,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,2,1,1,"I know the bus service has helped a lot of people, especially if they have a disability and it has a leviated a lot of stress for commuters to find parking nearby classes.",
248,2,1,1,2,3,4,5,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,"Cut the sports budget, leave buses alone",
249,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,I rely on the buses everyday so to remove them for any reason would be a huge inconvenience for me as well as so many other students I see use it everyday.,
250,2,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
251,1,1,1,2,3,,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,3,1,2,1,The only EPTA issue we should be looking at right now is the lack of keeping schedule and how the driver break mess people up on T Th cause it is during the time classes switch forcing those to walk across campus whether or not they have the ability,1
252,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
253,2,3,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,1,1,1,1,1,1,We need the EPTA bus,
254,1,1,1,,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,1,1,1,1,1,,,
